City,Country,Meal Inexpensive Restaurant,Meal for 2 People Mid-range Restaurant Three-course,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Cinema International Release 1 Seat,Apartment (1 bedroom) in City Centre,Apartment (1 bedrooms) outside city Centre,Apartment (3 bedrooms) in City Centre,Apartment(3 bedrooms) outside of city center,Average Monthly Net Salary (After Tax)
Amritsar,India,1.35,10.67,3.37,1.68,0.2,5.61,0.56,0.41,0.67,0.01,9.16,2.81,78.6,60.82,224.56 ,165.61,306.9
Amsterdam,Netherlands,15.0,75.0,9.0,5.0,3.2,97.5,5.0,3.78,43.97,0.15,46.34,12.0,1581.11,1293.24,"2,635.00 ",2000.0,2909.38
Anaheim,United States,12.48,52.0,6.66,4.16,1.87,57.4,2.91,2.29,26.62,0.11,52.16,10.19,1642.95,1381.96,"2,502.32 ",2464.39,3288.7
Anchorage,United States,12.48,57.82,7.49,4.99,1.66,49.92,2.29,2.08,34.53,0.12,103.04,10.4,934.64,765.88,"1,508.52 ",1385.43,3441.04
Ancona,Italy,15.0,55.0,8.0,5.0,1.25,35.0,5.0,1.75,31.35,0.12,28.62,8.0,499.0,397.14,733.33 ,658.33,1300.0
Andorra-La-Vella,Andorra,12.0,35.0,8.0,2.0,1.85,45.0,2.55,1.84,5.0,0.35,40.0,7.0,700.0,500.0,"1,125.00 ",840.0,1883.67
Ankara,Turkey,3.01,12.05,3.0,1.81,0.35,12.05,0.5,0.6,4.02,0.07,12.54,2.51,159.36,101.41,262.37 ,172.18,389.95
Ann-Arbor,United States,9.15,54.08,6.66,3.33,1.25,48.25,2.5,2.5,19.97,0.17,57.14,9.15,1201.13,837.15,"2,651.84 ",1585.9,3544.11
Annapolis,United States,12.48,41.6,6.66,3.74,1.66,66.56,2.5,2.08,41.6,,43.97,7.9,1143.41,915.14,"2,085.07 ",1570.31,3184.13
Antalya,Turkey,2.51,12.05,2.61,1.63,0.35,10.91,0.55,0.65,3.01,0.08,17.63,2.21,134.52,93.02,239.12 ,157.16,293.2
Antananarivo,Madagascar,1.43,13.22,4.19,0.66,0.11,5.0,1.1,1.77,3.31,0.04,62.81,4.85,319.56,79.89,734.61 ,315.88,179.98
Antibes,France,14.0,60.0,9.0,6.0,1.5,22.0,3.0,3.35,25.8,0.5,29.75,8.0,733.12,656.25,"1,608.33 ",1420.0,2650.0
Antigua-Guatemala,Guatemala,4.26,31.0,5.28,1.62,0.86,24.96,3.24,1.34,,0.18,51.18,6.47,419.34,298.86,"1,430.40 ",525.69,521.74
Antwerp,Belgium,15.0,80.0,8.0,4.25,2.2,49.0,2.95,3.22,35.0,0.19,48.31,11.0,741.67,615.94,"1,179.41 ",938.46,2186.85
Aomori,Japan,12.48,33.29,8.32,2.5,,,5.02,,,,,,,,494.75 ,?,2664.05
Aosta,Italy,12.5,65.0,7.0,4.5,1.5,37.0,,1.77,28.5,0.14,36.67,9.0,487.5,400.0,762.50 ,612.5,1566.67
Appleton,United States,7.07,46.59,5.41,2.91,2.5,62.4,2.7,1.66,18.9,0.17,48.05,10.82,589.99,532.45,967.14 ,889.35,2467.56
Arad,Romania,3.65,20.3,3.25,1.02,0.61,18.27,0.61,0.98,6.09,0.05,7.61,4.47,167.96,133.87,303.10 ,236.82,542.62
Arezzo,Italy,15.0,55.0,8.0,4.5,1.5,35.0,3.0,4.83,30.0,0.05,36.25,8.0,550.0,433.33,687.50 ,641.67,1366.67
Ariana,Tunisia,1.82,10.64,2.89,0.91,0.2,8.36,0.15,0.49,4.1,0.06,20.36,3.04,147.9,112.11,249.88 ,207.0,256.15
Arima,Trinidad And Tobago,4.29,61.26,5.02,1.23,0.98,39.2,0.83,0.79,0.67,0.17,42.66,6.13,326.7,269.53,571.73 ,490.05,581.94
Arlington,United States,12.48,65.72,7.06,4.99,2.97,103.99,2.5,1.8,27.45,0.25,55.19,12.48,1840.28,1441.88,"2,995.02 ",2360.66,5175.11
Arnhem,Netherlands,15.0,60.0,8.0,3.5,2.07,66.0,3.0,3.22,22.2,,43.75,11.0,690.0,645.4,"1,351.25 ",1070.75,2278.0
As-Sulaymaniyah,Iraq,5.41,21.02,6.32,1.22,0.35,16.64,2.09,3.21,4.16,0.05,27.35,6.97,267.31,192.68,554.39 ,308.23,492.85
Ashdod,Israel,11.54,66.7,13.34,7.7,1.39,33.86,3.72,1.77,56.18,0.13,21.8,10.77,1295.46,752.48,"1,314.70 ",1058.17,1949.6
Asheville,United States,12.48,49.92,6.03,4.16,0.83,16.64,4.78,2.91,23.37,0.12,53.61,9.98,1141.26,809.07,"1,970.21 ",1343.0,2895.19
Ashford,United Kingdom,12.64,57.48,7.47,3.45,5.17,34.49,3.22,2.63,15.17,0.01,32.02,10.81,847.76,754.37,"1,853.59 ",1307.57,1800.9
