City,Country,Meal Inexpensive Restaurant,Meal for 2 People Mid-range Restaurant Three-course,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Cinema International Release 1 Seat,Apartment (1 bedroom) in City Centre,Apartment (1 bedrooms) outside city Centre,Apartment (3 bedrooms) in City Centre,Apartment(3 bedrooms) outside of city center,Average Monthly Net Salary (After Tax)
Curitiba,Brazil,3.21,15.3,3.82,1.22,0.69,30.59,0.79,0.86,5.05,0.17,17.9,4.13,193.66,124.37,356.58 ,257.18,272.76
Da-Lat,Vietnam,2.06,8.98,2.33,0.69,0.22,,0.39,0.98,,0.05,11.49,2.51,307.79,130.49,388.10 ,293.32,
Da-Nang,Vietnam,1.53,17.06,3.59,0.86,0.23,4.31,0.39,0.87,1.08,0.07,9.04,2.87,376.21,272.23,611.78 ,503.7,251.35
Daegu,South Korea,5.21,29.77,4.84,2.98,0.93,37.22,2.46,0.96,8.37,0.09,18.61,8.56,345.73,213.99,"1,042.02 ",769.11,1758.41
Daejeon,South Korea,5.95,22.33,4.76,2.98,0.93,44.66,2.49,1.2,8.93,0.07,18.57,8.93,521.01,388.28,828.03 ,641.96,2251.51
Dakar,Senegal,4.19,33.54,7.62,0.96,0.3,22.87,2.29,2.45,6.86,0.16,57.69,7.62,583.3,309.47,"1,281.52 ",800.36,386.52
Dalian,China,3.21,19.27,5.14,1.03,0.26,11.31,1.28,0.47,5.65,0.04,10.6,5.78,359.79,237.72,743.14 ,471.15,705.06
Dallas,United States,12.48,49.92,6.66,4.16,2.5,79.87,2.16,1.5,17.47,0.12,50.42,9.98,1265.73,918.59,"2,485.09 ",1468.92,4341.91
Damascus,Syria,3.75,24.31,4.85,1.64,0.08,12.36,0.45,1.3,3.23,0.02,26.62,4.62,266.59,142.03,509.73 ,263.51,81.34
Danville,United States,15.81,57.4,8.32,5.2,2.5,49.92,2.08,2.08,,0.21,65.03,10.4,2017.48,1955.08,"3,410.99 ",3242.53,6239.62
Dar-Es-Salaam,Tanzania,1.78,17.85,5.35,0.89,0.18,3.57,1.78,1.72,2.67,0.04,55.93,3.57,393.6,356.65,949.85 ,828.17,202.83
Darmstadt,Germany,10.0,41.5,8.0,3.75,2.4,49.0,3.5,3.22,33.0,0.1,33.33,13.0,729.29,531.43,"1,418.75 ",925.83,2700.0
Darwin,Australia,16.05,64.2,8.12,4.98,1.93,55.83,3.47,1.59,35.55,0.4,54.94,15.09,867.61,682.03,"1,510.34 ",1293.51,3557.73
Davao,Philippines,2.59,14.14,2.59,1.03,0.16,3.68,0.69,0.37,2.07,0.16,43.85,4.31,271.63,186.83,529.22 ,282.84,253.76
Davenport,United States,10.82,34.94,6.45,2.29,0.83,24.96,2.08,1.25,15.81,,60.73,9.15,737.32,734.89,"1,081.53 ",1053.8,2431.79
David,Panama,4.99,26.62,5.82,0.83,0.42,24.96,1.25,2.68,9.15,0.17,32.27,3.33,429.84,176.79,499.17 ,324.46,584.44
Dayton,United States,9.98,41.6,6.24,3.33,1.66,45.76,5.2,2.08,,0.33,50.81,9.98,767.47,539.21,"1,315.52 ",823.04,2043.55
Daytona-Beach,United States,12.48,49.92,5.82,3.74,1.46,41.6,2.66,1.25,24.96,0.08,48.99,8.01,877.71,711.78,"1,358.85 ",1044.56,1935.12
Debrecen,Hungary,4.58,23.6,4.16,1.39,1.11,18.88,1.67,1.34,11.66,0.1,11.82,4.43,280.73,223.66,537.95 ,374.83,682.3
Decatur,United States,9.98,41.6,6.24,2.5,0.83,33.28,3.33,1.66,24.96,0.14,56.85,9.98,388.24,426.37,617.03 ,571.97,2307.0
Delhi,India,3.37,16.84,3.37,1.68,0.34,11.23,0.56,0.36,1.12,0.01,8.71,3.93,197.84,111.09,473.16 ,258.25,392.79
Denizli,Turkey,3.01,20.08,2.51,2.21,0.3,11.04,0.45,1.13,3.26,0.13,21.83,2.21,97.36,74.28,177.33 ,147.55,327.89
Denpasar,Indonesia,1.93,14.4,3.46,1.73,0.2,,0.4,0.65,3.17,0.06,27.4,3.74,172.81,140.41,399.62 ,275.67,180.79
Denver,United States,12.91,55.57,6.66,4.78,2.5,94.84,2.08,1.87,18.72,0.19,52.58,10.4,1397.09,1120.5,"2,322.80 ",1902.29,3762.56
Derby,United Kingdom,13.79,57.48,6.32,4.02,3.22,60.92,3.45,2.29,16.55,0.17,33.34,10.35,641.17,521.39,862.13 ,806.3,2378.05
Des-Moines,United States,12.48,33.28,6.66,3.33,1.46,39.93,1.66,1.66,20.8,0.18,64.15,9.15,819.99,723.6,"1,341.58 ",985.76,2688.86
Detroit,United States,9.98,39.52,6.86,4.16,1.66,45.76,2.5,1.56,24.06,0.13,50.8,9.98,1169.53,977.22,"1,871.89 ",1239.61,2132.29
Dhaka,Bangladesh,1.52,11.78,5.4,3.68,0.44,20.62,0.98,0.55,2.16,0.01,26.7,4.91,130.47,76.16,356.23 ,203.72,240.22
Dili,Timor-Leste,3.33,24.96,4.99,2.29,0.21,49.92,2.5,4.02,12.48,0.08,31.2,4.99,842.35,733.16,"2,287.86 ",1735.21,235.72
Doha,Qatar,6.85,45.7,5.71,10.28,0.63,34.27,2.28,0.74,6.85,0.16,72.87,8.0,1216.87,830.2,"2,441.42 ",1588.84,2363.46
Dortmund,Germany,9.0,50.0,8.0,3.9,2.8,75.0,3.5,3.06,30.0,0.1,30.9,12.0,590.54,403.0,"1,075.00 ",740.0,2774.62
Dothan,United States,8.32,29.95,5.41,2.5,0.0,0.0,2.29,2.91,20.38,0.04,56.6,8.32,513.04,429.84,"1,039.94 ",790.35,2262.9
Douala,Cameroon,3.81,30.49,3.05,1.07,0.38,5.49,0.38,0.61,3.81,0.1,48.51,7.62,216.29,93.38,607.26 ,274.41,194.92
Douglas,Isle Of Man,17.24,68.97,6.9,3.45,3.1,71.84,2.53,1.85,51.36,0.13,45.49,9.77,766.34,622.65,"1,235.72 ",1206.99,3520.79
Drammen,Norway,20.45,99.77,11.97,8.48,3.59,82.81,15.46,3.21,46.39,0.13,55.32,14.97,1047.56,785.67,"1,546.41 ",1277.03,2971.98
Dresden,Germany,10.0,49.0,8.0,3.25,2.4,61.5,3.9,3.54,24.0,0.09,35.0,10.0,533.33,434.55,"1,256.25 ",812.22,2477.29
Dubai,United Arab Emirates,7.93,56.62,6.34,10.19,1.13,67.95,2.72,0.89,6.79,0.1,80.1,9.06,1257.73,840.62,"2,459.20 ",1709.22,2665.3
Dublin,Ireland,15.0,66.5,9.0,5.5,3.0,130.0,4.0,2.41,26.75,0.27,51.3,12.0,1672.1,1374.46,"3,021.67 ",2300.52,2754.21
Dubrovnik,Croatia,13.91,89.3,6.89,5.3,1.99,39.75,3.58,1.92,10.57,0.26,38.2,5.3,675.8,510.44,"1,018.06 ",660.74,1009.84
Duluth,United States,12.48,45.76,6.03,4.16,1.25,33.28,2.08,2.08,,0.08,59.9,8.32,747.26,607.32,"1,331.12 ",1060.74,2323.64
Dundee,United Kingdom,13.79,54.6,8.05,4.02,2.76,57.48,3.45,2.02,27.59,0.2,32.9,10.92,550.49,485.38,"1,023.78 ",847.76,1938.49
Dunedin,New Zealand,8.94,47.67,7.15,5.36,1.55,,1.94,3.26,35.75,0.26,46.31,8.34,761.19,454.83,"1,265.17 ",1074.08,1888.82
Dunfermline,United Kingdom,15.52,45.98,5.75,4.6,2.3,64.97,3.68,2.7,17.24,0.11,37.65,12.93,553.2,517.28,766.34 ,804.66,1760.47
Durango,Mexico,4.11,18.5,5.16,1.24,0.41,19.33,0.7,1.32,9.25,0.1,21.22,2.01,143.87,90.43,416.32 ,254.73,416.2
Durban,South Africa,5.74,28.7,3.44,1.72,0.86,40.18,0.98,1.11,3.53,0.09,53.95,5.17,301.22,293.48,600.67 ,594.99,917.07
Durham,United States,9.98,52.0,6.36,3.33,1.66,29.95,3.0,1.66,,0.08,51.1,9.98,1262.28,1039.55,"1,736.70 ",1280.28,2954.25
Dushanbe,Tajikistan,2.19,11.31,2.92,0.73,0.15,4.38,0.73,0.33,1.46,0.05,52.29,3.65,201.18,101.11,510.78 ,222.55,101.93
Dusseldorf,Germany,10.0,60.0,8.0,4.0,2.9,79.0,4.8,3.54,34.8,0.1,33.89,13.0,778.18,607.95,"1,500.00 ",1137.5,2484.55
Ealing,United Kingdom,18.97,54.6,7.18,4.6,3.1,,2.99,3.14,33.11,0.08,38.32,11.5,1839.22,1571.0,"3,448.53 ",2299.02,2528.92
East-London,South Africa,6.31,34.44,4.02,1.41,0.69,,0.57,0.92,2.58,0.06,49.72,4.02,445.07,373.3,995.47 ,737.05,688.74
Eastbourne,United Kingdom,25.86,68.97,6.9,3.45,3.33,71.27,3.22,2.42,20.69,0.03,34.49,13.79,671.54,646.25,"1,327.68 ",1206.99,2372.27
Eau-Claire,United States,12.48,37.44,5.41,2.7,1.46,39.52,2.08,2.08,,0.0,62.95,8.32,582.36,556.37,998.34 ,901.28,2294.52
Edinburgh,United Kingdom,17.24,68.97,6.03,5.17,2.07,64.37,3.45,2.63,27.59,0.12,34.85,11.5,939.42,751.08,"1,781.53 ",1344.93,2270.1
Edison,United States,10.4,43.68,5.82,4.16,2.08,166.39,2.91,2.5,24.96,0.08,46.59,9.98,1383.12,1133.53,"1,858.02 ",1539.11,4515.06
Edmonton,Canada,13.54,54.15,7.09,4.06,2.37,65.99,2.59,1.8,20.3,0.22,61.59,10.15,777.76,661.85,"1,164.79 ",1042.4,2765.58
Eindhoven,Netherlands,16.0,60.5,8.0,5.0,4.12,99.0,3.38,4.1,33.0,0.17,42.14,12.5,1186.8,964.29,"1,623.87 ",1302.17,2594.14
El-Paso,United States,8.32,31.2,5.15,2.33,1.25,39.93,1.37,2.08,14.98,0.08,51.58,9.56,604.55,538.17,"1,013.27 ",902.39,2349.43
Ensenada,Mexico,4.11,14.39,4.11,1.44,0.55,,1.6,0.66,4.93,0.05,20.66,2.88,198.68,125.89,475.65 ,343.53,274.04
Erie,United States,8.74,41.6,4.99,2.91,1.29,40.77,2.35,2.04,18.51,0.18,51.67,6.66,537.65,429.49,775.79 ,734.89,2159.74
Erlangen,Germany,15.0,42.5,8.0,3.2,2.5,54.4,3.45,2.9,24.0,0.12,29.38,12.0,625.0,507.14,"1,183.33 ",857.14,2885.71
Esbjerg,Denmark,13.45,67.24,8.74,5.38,3.23,50.43,5.92,2.16,44.94,0.07,29.78,13.45,645.52,448.28,"1,075.87 ",739.66,2839.08
Esfahan,Iran,4.0,20.0,2.99,1.0,0.27,21.25,0.51,0.76,4.75,0.02,19.17,3.56,545.16,299.64,"1,117.71 $",826.61,454.23
Eskisehir,Turkey,2.01,10.54,3.01,1.56,0.33,25.09,0.45,0.52,2.21,0.09,20.38,2.01,99.12,61.23,180.68 ,104.14,313.67
Espoo,Finland,11.5,70.0,8.0,6.0,2.8,59.7,6.0,2.41,44.7,0.07,20.6,15.0,954.67,729.17,"1,384.50 ",1146.67,2949.94
Essen,Germany,12.0,52.5,8.0,3.5,2.8,70.29,3.5,3.22,31.8,0.14,32.5,12.0,580.0,422.5,"1,085.71 ",948.75,2111.43
Eugene,United States,10.4,41.6,6.24,4.26,1.46,41.6,2.91,1.87,24.96,0.1,56.39,7.9,912.03,766.09,"1,561.80 ",1372.72,2343.03
Eureka,United States,12.06,43.68,7.07,3.54,1.46,39.93,3.74,2.5,24.96,,67.25,7.9,698.84,582.36,"1,518.31 ",1214.65,3327.8
Evansville,United States,9.98,47.84,5.82,2.08,0.73,49.92,2.5,2.08,17.05,0.08,42.98,8.32,571.97,512.48,998.34 ,804.22,1918.48
Everett,United States,16.64,58.24,7.28,4.16,2.29,95.67,2.08,1.91,18.72,0.08,50.83,10.82,1085.47,1090.96,"1,923.88 ",1643.1,2995.02
Exeter,United Kingdom,12.64,40.23,6.9,4.6,3.56,74.72,3.45,2.46,18.62,0.12,35.76,12.64,803.38,667.29,"1,390.91 ",960.56,2412.75
Fairbanks,United States,15.39,74.88,8.2,4.16,1.04,33.28,0.83,2.66,33.28,,118.03,13.31,808.55,842.35,"1,414.31 ",1319.23,3134.14
Fairfax,United States,11.65,49.92,5.82,4.99,2.5,66.56,2.91,1.8,,,58.03,12.48,1565.65,1388.68,"2,100.67 ",1797.94,4547.51
Fairfield,United States,12.06,49.92,6.66,4.99,1.46,,1.87,1.87,,0.21,44.09,9.98,1289.52,1275.66,"1,955.08 ",1996.68,3420.98
Faisalabad,Pakistan,0.81,4.32,3.51,2.16,0.22,21.62,0.43,0.3,1.89,0.01,18.01,2.7,100.9,51.74,234.23 ,160.36,166.66
Famagusta,Cyprus,4.47,37.5,4.92,2.0,1.38,37.68,2.43,0.9,6.6,0.1,16.9,6.36,225.7,227.17,300.05 ,288.81,653.66
Fargo,United States,12.06,41.6,6.66,2.5,1.25,33.28,3.74,1.33,24.96,0.23,56.16,9.05,858.1,729.74,"1,164.73 ",901.11,2678.05
Faridabad,India,2.81,11.23,3.37,1.68,0.22,10.11,0.67,0.27,1.12,0.01,9.48,2.81,121.4,79.4,311.18 ,198.9,390.18
Farmington-Hills,United States,10.61,37.44,6.66,3.33,,,,,,0.21,49.92,7.49,800.06,707.16,?,?,3635.62
Faro,Portugal,9.0,42.5,6.5,2.5,2.33,36.0,4.0,1.61,14.8,0.2,40.6,7.0,583.75,488.57,"1,057.14 ",821.43,773.5
Fayetteville,United States,10.61,36.61,6.66,3.33,0.0,0.0,2.91,2.07,24.96,0.04,47.32,9.98,744.04,567.57,"1,923.88 ",1149.13,2006.8
Ferrara,Italy,13.0,55.0,7.5,4.0,1.5,30.0,4.1,1.61,25.0,0.03,29.17,8.5,575.0,412.5,"1,000.00 ",716.67,1766.67
Flagstaff,United States,14.56,41.6,7.7,4.99,1.25,30.78,4.16,1.66,33.28,0.07,55.83,9.57,1081.53,820.06,"1,719.36 ",1622.3,2682.21
Flint,United States,12.62,62.4,5.82,3.33,,79.04,8.32,1.66,35.75,,50.12,9.98,540.77,474.21,769.55 ,831.95,1537.44
Florence,Italy,15.0,60.0,8.0,5.0,1.5,35.0,3.6,1.59,31.0,0.14,29.7,8.5,768.64,603.33,"1,546.67 ",1043.33,1404.55
Florianopolis,Brazil,3.82,19.89,4.13,1.22,0.67,31.28,0.7,1.03,3.82,0.2,17.07,4.59,214.16,141.98,464.38 ,307.86,317.44
Foggia,Italy,10.0,40.0,6.0,2.0,1.1,30.0,5.0,2.01,27.0,0.08,23.33,7.0,466.67,300.0,483.33 ,366.67,1283.33
Fort-Collins,United States,9.98,41.6,6.66,3.33,1.66,29.12,2.91,1.87,9.15,0.12,48.01,8.42,1168.51,979.85,"1,965.48 ",1461.11,2941.32
Fort-Lauderdale,United States,13.73,49.92,5.41,4.16,1.66,58.24,2.12,2.0,19.97,0.13,47.11,9.98,1483.18,1152.71,"2,437.47 ",2050.85,3602.05
Fort-Myers,United States,9.98,45.76,6.24,2.5,1.25,29.95,2.12,2.0,19.97,0.12,47.11,9.98,998.34,831.36,"1,439.11 ",1368.78,2701.03
Fort-Wayne,United States,9.98,41.6,5.82,2.5,1.04,37.44,2.08,2.08,16.64,0.04,41.48,9.98,670.64,504.25,"1,188.50 ",855.72,2164.43
Fort-Worth,United States,12.48,41.6,6.66,2.7,1.66,66.56,1.87,1.5,18.72,0.23,54.46,8.74,1060.16,820.14,"1,404.72 ",1236.83,3103.73
Fortaleza,Brazil,3.06,11.47,3.82,1.07,0.55,18.36,0.73,0.74,3.66,0.2,15.27,4.59,158.71,144.69,321.24 ,218.87,271.22
Foshan,China,2.57,19.27,3.85,0.77,0.26,11.59,1.28,0.54,3.85,0.02,13.49,5.46,244.14,154.2,610.36 ,321.24,822.38
Frankfurt,Germany,10.0,58.0,8.0,4.0,2.75,91.5,3.5,3.22,33.0,0.11,33.0,12.0,1047.41,796.04,"1,953.46 ",1396.96,3072.83
Frederick,United States,14.56,54.08,6.66,4.16,1.25,29.12,0.83,1.8,24.96,0.08,62.67,11.23,998.34,832.78,"1,487.11 ",1216.73,3465.07
Fredericksburg,United States,9.98,41.6,5.82,3.33,1.04,95.67,1.66,1.66,24.96,0.12,47.84,9.98,981.7,831.12,"1,451.75 ",1281.2,3294.52
Fredericton,Canada,15.57,50.76,6.77,4.57,1.69,54.15,4.06,1.33,23.01,0.24,59.95,8.37,695.05,538.75,"1,060.36 ",778.35,2032.82
Freeport,Bahamas,14.14,69.88,6.66,3.74,1.46,43.77,2.7,3.23,58.24,0.26,50.12,9.98,499.17,488.77,"1,476.71 ",1003.54,2024.41
Freiburg-Im-Breisgau,Germany,10.0,57.5,7.75,4.0,2.4,61.0,4.0,4.51,40.1,0.09,31.89,11.2,824.21,672.92,"1,843.75 ",1441.98,2443.75
Fremont,United States,10.82,51.16,8.11,4.58,2.04,98.17,2.5,2.5,41.6,0.01,56.99,11.65,2019.18,1918.74,"2,849.43 ",2579.04,4622.55
Fresno,United States,9.98,39.93,6.45,3.33,1.04,39.93,2.87,2.04,26.62,0.18,57.13,10.38,941.0,892.3,"1,351.71 ",1131.98,2758.61
Fribourg,Switzerland,18.22,77.44,11.84,5.47,2.64,61.95,7.29,4.76,45.55,0.16,57.39,15.03,983.91,756.15,"1,803.83 ",1539.63,4357.06
Fukuoka,Japan,6.09,38.06,5.02,3.81,1.83,76.12,4.53,3.98,18.65,0.29,41.97,15.22,491.66,369.16,"1,064.67 ",587.04,2099.99
Funchal,Portugal,6.5,32.5,6.0,2.0,1.98,40.0,3.25,1.11,15.0,0.22,35.12,6.93,578.12,440.62,950.00 ,664.29,917.99
Gaborone,Botswana,9.19,38.3,5.75,1.72,0.38,10.42,0.38,3.7,2.3,0.11,39.96,5.75,298.17,210.66,662.92 ,402.17,738.69
Gainesville,United States,12.48,41.6,6.66,3.33,1.25,29.12,2.91,2.33,15.7,0.0,61.04,9.98,866.16,712.51,"1,483.51 ",1116.2,2041.61
Galati,Romania,5.08,24.36,3.65,1.22,0.41,11.17,0.55,0.88,4.96,0.04,6.53,5.08,234.61,165.8,370.84 ,284.23,454.27
Galle,Sri Lanka,1.26,10.53,5.27,1.79,0.21,9.16,0.42,0.68,0.38,0.08,14.75,2.11,126.41,63.21,316.03 ,147.48,224.73
Galway,Ireland,15.0,60.0,8.9,5.2,2.42,62.0,4.0,1.83,24.0,0.39,53.73,10.0,1108.82,865.62,"1,761.11 ",1476.67,2256.75
Gatineau,Canada,12.18,50.76,8.12,4.4,2.67,66.33,2.54,1.91,16.24,0.18,49.16,8.8,642.99,463.14,934.02 ,693.75,2124.08
Gaziantep,Turkey,2.01,10.01,2.61,1.51,0.31,,0.75,1.13,2.21,0.1,21.12,2.01,157.25,104.56,260.98 ,187.37,293.72
Gdansk,Poland,5.49,26.33,4.61,1.98,0.83,22.82,1.76,0.85,8.78,0.06,12.08,4.39,636.83,508.53,"1,123.96 ",871.68,755.21
Gdynia,Poland,5.49,24.14,5.05,1.76,0.7,20.19,1.76,0.88,8.78,0.05,11.01,5.71,500.64,368.37,982.49 ,779.92,649.31
Geelong,Australia,14.77,51.36,5.3,4.49,1.61,108.14,2.31,1.9,24.77,0.16,57.77,7.7,738.32,490.78,"1,373.91 ",1005.83,1958.15
Geneva,Switzerland,22.78,91.1,13.21,7.29,2.73,63.77,5.74,4.69,54.66,0.16,54.24,17.31,1800.1,1417.64,"3,270.94 ",2556.88,5703.09
Genoa,Italy,15.0,52.5,8.0,5.0,1.5,46.0,5.0,1.45,24.0,0.18,30.32,9.0,574.71,401.18,953.57 ,704.17,1301.54
Gent,Belgium,15.0,60.0,7.0,4.0,2.23,50.0,8.0,3.3,35.0,0.17,42.55,12.0,763.44,633.33,"1,175.00 ",934.62,2056.15
George,South Africa,6.74,31.57,3.87,1.72,0.69,,0.72,0.92,15.78,0.06,66.82,4.74,279.8,272.63,559.60 ,602.65,727.0
George-Town,Malaysia,2.23,12.19,2.64,4.06,0.41,15.74,0.91,0.98,8.13,0.05,23.94,3.05,236.99,148.97,510.38 ,322.12,578.94
Georgetown,Guyana,5.57,39.78,5.97,1.59,0.4,25.86,1.99,3.2,7.56,0.12,50.72,5.97,213.81,156.27,417.67 ,301.17,267.08
Germantown,United States,12.48,41.6,5.82,4.16,2.91,119.38,2.5,2.5,24.96,0.21,55.74,9.98,1150.86,1150.86,"1,774.83 ",1580.7,2723.17
Ghaziabad,India,3.09,11.23,3.37,1.24,0.34,8.42,0.56,0.22,1.12,0.01,10.32,2.81,133.13,81.8,256.64 ,181.25,421.05
Gijon,Spain,11.5,41.5,7.0,2.1,1.25,40.0,3.7,1.53,25.0,0.18,43.12,8.0,562.5,337.5,850.00 ,575.0,1336.0
Girona,Spain,11.0,40.0,8.0,2.5,1.4,31.9,3.5,1.54,27.02,0.12,39.25,8.0,576.11,407.14,918.75 ,730.0,1439.58
Giurgiu,Romania,4.06,15.23,3.15,1.02,0.41,12.18,0.54,0.7,4.67,0.01,6.09,4.87,182.72,101.51,243.63 ,162.42,392.51
Giza,Egypt,4.25,21.25,3.72,1.06,0.27,10.63,0.39,0.24,1.28,0.01,19.89,4.78,164.69,69.06,301.05 ,154.95,192.01
Gladstone,Australia,14.12,62.6,8.47,3.85,,,1.28,2.07,,,57.78,10.43,616.34,385.21,821.78 ,526.45,3343.83
Glasgow,United Kingdom,16.09,57.48,6.9,4.02,2.87,68.97,2.99,1.96,19.31,0.11,35.58,11.5,764.31,554.75,"1,304.15 ",939.99,2284.39
Glendale,United States,12.48,45.76,6.24,4.99,1.46,64.48,2.37,2.25,16.64,0.08,46.03,12.48,2088.82,1974.55,"2,967.29 ",2495.85,2841.94
Gliwice,Poland,3.95,21.95,4.39,1.32,0.77,24.36,1.54,0.67,6.8,0.04,12.39,5.49,314.55,237.74,521.21 ,427.94,815.68
Gloucester,United Kingdom,13.79,63.22,5.75,3.79,2.41,68.97,2.99,3.11,20.0,0.15,32.83,11.5,650.19,598.7,993.51 ,953.14,1957.36
Godollo,Hungary,5.55,22.21,4.3,1.39,0.97,22.21,1.25,1.34,11.66,0.08,9.53,4.16,323.92,263.77,444.24 ,381.77,758.91
Goiania,Brazil,2.52,11.47,3.82,0.92,0.66,28.94,0.7,0.99,10.71,0.12,17.32,4.59,146.02,112.82,270.25 ,184.2,216.46
Gold-Coast,Australia,12.84,64.2,7.06,5.14,3.08,38.52,3.21,2.58,31.84,0.15,48.79,11.56,1163.65,866.72,"1,883.11 ",1427.68,3036.21
Gorizia,Italy,10.0,30.0,7.5,2.25,1.2,32.15,4.0,2.35,29.5,0.07,29.5,8.0,283.33,216.67,566.67 ,450.0,1500.0
Gothenburg,Sweden,10.28,78.67,8.36,6.39,3.34,77.44,5.02,2.26,53.0,0.11,32.99,13.77,925.09,673.11,"1,499.23 ",1072.79,2694.08
Granada,Spain,9.5,30.0,8.0,2.1,1.4,57.5,5.0,1.85,25.0,0.21,34.25,7.88,503.33,375.0,768.75 ,565.62,1235.71
Grand-Forks,United States,8.78,41.6,5.43,2.5,1.25,29.12,3.74,1.33,24.96,0.42,41.81,5.82,804.22,546.31,"1,075.99 ",927.62,3003.34
Grand-Junction,United States,14.98,41.6,6.24,3.95,2.5,43.26,1.66,3.74,14.89,0.02,46.09,9.98,650.11,549.09,"1,143.93 ",919.82,1553.67
Grand-Rapids,United States,9.98,41.6,6.66,3.33,1.46,36.19,3.45,2.18,,0.13,53.99,9.98,915.85,756.75,"1,494.95 ",1167.04,2741.08
Grande-Prairie,Canada,11.84,45.69,10.15,5.08,1.86,35.2,2.37,3.27,23.01,0.22,71.07,10.15,719.13,662.32,"1,144.97 ",1043.44,2077.18
Graz,Austria,10.0,47.5,7.95,3.85,2.5,50.9,3.9,2.41,30.0,0.06,33.31,12.0,591.0,441.43,"1,118.75 ",820.67,1958.6
Green-Bay,United States,9.98,41.6,5.82,3.12,1.66,29.12,2.5,1.0,37.44,0.17,53.13,10.82,679.43,540.77,"1,005.27 ",831.95,2316.98
Greensboro,United States,12.48,52.0,5.82,3.33,1.77,41.6,2.08,1.56,9.98,,54.83,7.9,921.09,657.76,"1,663.90 ",1232.33,2515.82
Greenville,United States,12.06,47.01,5.82,4.58,1.25,44.93,2.91,1.66,20.8,0.21,49.81,9.98,1111.25,797.84,"1,559.91 ",1180.33,3161.8
Grenada,Grenada,6.86,50.37,8.0,2.0,1.4,47.5,7.7,,19.0,0.15,36.76,8.0,483.33,383.33,733.33 ,566.67,1059.72
Grenoble,France,12.0,50.0,9.0,5.5,1.6,57.8,2.5,2.99,27.0,0.2,26.33,10.0,568.18,448.89,987.50 ,852.22,2236.71
Groningen,Netherlands,15.0,60.0,8.0,4.5,2.5,100.0,3.19,3.86,43.94,0.17,48.72,12.0,792.94,607.5,"1,279.17 ",1020.83,2222.5
Guadalajara,Mexico,4.93,24.66,4.07,1.23,0.39,16.44,1.23,0.66,6.17,0.05,23.32,3.14,384.97,254.15,660.16 ,503.55,446.66
Guanajuato,Mexico,4.73,23.64,4.07,1.23,0.3,9.25,1.23,0.66,6.17,0.05,23.32,2.92,226.08,315.49,974.72 ,455.76,452.47
Guangzhou,China,2.57,19.27,3.85,1.28,0.26,15.42,1.54,0.54,5.65,0.02,16.96,7.07,546.91,266.06,"1,088.20 ",549.68,1022.46
Guatemala-City,Guatemala,4.85,26.96,4.85,1.89,0.22,9.71,2.7,0.87,8.63,0.17,55.97,4.85,492.8,301.2,794.79 ,455.35,376.41
Guayaquil,Ecuador,2.91,24.96,4.99,1.25,0.25,12.48,1.87,2.68,6.66,0.12,37.91,4.99,280.52,287.4,537.30 ,449.25,414.25
Guaynabo,Puerto Rico,11.65,83.19,6.66,1.87,0.83,0.0,4.99,1.0,16.64,0.17,44.37,6.24,998.34,513.04,"3,119.81 ",1726.3,2703.84
Guelph,Canada,13.54,67.68,6.77,4.06,2.03,54.15,2.03,2.61,21.66,0.29,45.65,10.14,981.4,820.65,"1,421.34 ",1267.17,2387.62
Guildford,United Kingdom,11.5,63.22,5.75,5.23,2.87,81.22,3.68,2.31,17.93,0.12,35.29,13.79,1315.33,1045.34,"2,171.26 ",1959.05,2455.35
Gujranwala,Pakistan,0.38,8.11,2.57,,0.16,4.05,0.54,0.26,0.54,0.01,20.72,2.7,117.11,48.65,198.19 ,127.35,216.21
Gulfport,United States,12.06,45.76,6.24,3.12,2.5,31.61,3.33,1.66,8.32,0.1,59.4,7.9,554.63,528.29,859.68 ,776.49,1896.01
Guntur,India,1.52,4.77,2.8,1.85,0.17,3.37,0.76,0.18,1.12,0.04,7.02,1.68,97.84,64.16,240.60 ,147.84,505.26
Gurgaon,India,4.49,16.84,3.37,1.96,0.45,15.44,0.67,0.33,1.12,0.01,11.23,4.49,236.16,155.88,555.79 ,340.3,826.23
Guwahati,India,1.68,11.23,5.61,1.46,0.17,9.54,0.67,0.36,1.15,0.01,8.61,2.81,95.14,64.12,213.22 ,137.23,306.9
Gyor,Hungary,5.55,23.25,5.55,1.14,0.69,15.55,1.94,1.34,11.66,0.11,16.66,4.83,381.77,253.36,638.59 ,555.3,746.45
Haarlem,Netherlands,15.0,60.0,8.0,4.5,3.25,120.0,2.5,1.93,21.6,0.2,37.22,12.25,1684.62,1304.17,"2,527.78 ",1725.0,2692.57
Hadera,Israel,16.67,60.28,12.18,6.54,1.31,38.74,3.85,1.55,23.27,0.13,21.59,10.26,849.74,628.49,"1,186.43 ",1128.71,2036.18
Haifa,Israel,15.39,59.0,12.83,7.18,1.51,54.64,6.41,2.06,22.29,0.08,22.94,11.29,620.65,481.7,"1,041.04 ",825.16,2197.36
