,0,1,2,3,4,5,6,7,8,9,10,11,12
Barcelona,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Moderate
Dalian,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Moderate
Johannesburg,Very High,Very High,High,Very High,High,Very High,High,High,High,High,Very High,Very High,Very High
Casablanca,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,High
Izmir,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Monterrey,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,High,High
Phoenix,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Moderate
Xiamen,Very Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Amman,Low,High,Low,Low,Moderate,Moderate,Low,Moderate,Very Low,Low,Moderate,Low,High
Seattle,Moderate,High,Moderate,Low,Moderate,High,Moderate,Moderate,Low,High,High,Moderate,Low
Yokohama,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low
Kabul,Very High,High,High,High,Very High,High,High,High,High,High,High,High,Very High
Berlin,Moderate,High,Low,Low,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Low,Low
San-Francisco,High,High,Moderate,Moderate,Moderate,High,Moderate,High,Low,High,High,Moderate,Moderate
Montreal,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,Moderate
Detroit,Very High,High,High,High,High,High,High,High,High,Very High,Very High,High,High
Busan,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Algiers,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,High
Madrid,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
San-Diego,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Low
Faisalabad,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,Low,Low,Moderate,Moderate,Moderate,High
Jaipur,Low,Moderate,Moderate,Low,Low,Low,Low,Low,Very Low,Low,Moderate,Low,High
Addis-Ababa,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,High
Brasilia,High,High,Moderate,High,High,High,Moderate,Low,Low,High,High,High,Very High
Mashhad,Moderate,High,Moderate,Moderate,High,High,Low,Low,Very Low,Moderate,Moderate,Low,High
Minneapolis,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate
Quezon-City,High,High,Moderate,High,Moderate,High,High,Moderate,Low,High,High,High,Very High
Salvador,Very High,Very High,Moderate,Very High,High,High,High,Moderate,Low,High,High,Very High,Very High
Incheon,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Bursa,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Tampa,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate
Birmingham,High,High,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,High,High,High,Moderate
Denver,Moderate,High,Low,Low,Low,Moderate,Low,Moderate,Low,High,Moderate,Moderate,Low
Rome,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,High
La-Paz,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Very High
Kano,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High
Taichung,Very Low,Moderate,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Moderate
Kaohsiung,Very Low,Moderate,Very Low,Low,Low,Very Low,Low,Low,Very Low,Low,Low,Low,Moderate
Guayaquil,High,High,Moderate,High,High,High,High,Moderate,Very Low,High,High,High,Very High
Manchester,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Low
Taipei,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low
Antananarivo,High,High,High,Moderate,Moderate,High,Moderate,Low,Low,Moderate,High,High,Very High
Santo-Domingo,Very High,High,Moderate,High,Moderate,High,Moderate,Moderate,Low,High,High,High,Very High
Brooklyn,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Low
Medellin,High,Moderate,Low,High,Moderate,Moderate,Moderate,Low,Very Low,High,Moderate,High,High
Brisbane,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Dubai,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low
Cali,High,High,Moderate,High,High,High,Moderate,Moderate,Low,High,High,High,Very High
Daegu,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low
Fortaleza,Very High,Very High,High,Very High,High,Very High,High,Moderate,Low,High,Very High,Very High,Very High
Guatemala-City,High,High,Moderate,High,High,High,Moderate,Low,Low,Moderate,High,High,Very High
Douala,High,High,High,Very High,High,High,High,High,Moderate,High,High,High,Very High
Antalya,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Low
Tashkent,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,High
Bandung,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,High
Nagpur,Low,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Low,Moderate,Low,Moderate
Ghaziabad,High,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Very High
Tijuana,Very High,High,High,High,High,High,High,Moderate,Low,Very High,High,High,Very High
Accra,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Very High
Vancouver,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,High,Moderate,Low,Low
Konya,Moderate,Moderate,Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,Low,Low,Moderate
Adana,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Medan,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High
Indore,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Baku,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,High
Havana,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Phnom-Penh,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,High,High,Moderate,Very High
Fukuoka,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low
Riverside,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Moderate,Moderate,Low,Low
Baltimore,Very High,High,High,High,High,High,High,High,Moderate,Very High,High,Very High,High
Las-Vegas,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,Moderate
Rawalpindi,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Portland,Moderate,High,Moderate,Low,Moderate,High,Moderate,Moderate,Low,High,High,Moderate,Low
Vadodara,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High
Perth,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low
San-Antonio,Moderate,High,Moderate,Low,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Moderate,Moderate
Minsk,High,Very High,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,High,Very High
Quito,High,High,Moderate,High,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,High,Very High
Peshawar,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,High
Sapporo,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Caracas,Very High,Very High,High,Very High,Very High,Very High,Very High,High,Low,High,Very High,Very High,Very High
