,0,1,2,3,4,5,6,7,8,9,10,11,12
Novi-Sad,Moderate,High,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,High
Christchurch,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Varna,Low,Low,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Low,Low,High
Coventry,High,High,High,High,High,High,High,High,Moderate,High,High,High,Moderate
Bydgoszcz,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Low,Moderate,Very Low,Low
Bilbao,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Haarlem,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Very Low
Simferopol,Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,Low,Low,Moderate,Low,High
Greensboro,Moderate,High,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,Low
East-London,Very High,Very High,High,High,High,High,High,High,Moderate,High,High,High,High
Corpus-Christi,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Lublin,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Moderate,Low,Moderate,Low,Low
Randburg,High,High,High,High,High,High,Very High,High,Moderate,Moderate,High,Very High,High
Reading,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Belfast,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low
Alicante,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Vina-Del-Mar,Low,Moderate,Moderate,Low,Low,Moderate,Low,Very Low,Very Low,Low,Moderate,Low,Low
Cuenca,Moderate,Moderate,Low,Moderate,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Moderate
Thessaloniki,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Batangas,High,High,High,High,High,High,High,Moderate,Moderate,High,High,High,High
Bonn,Low,High,Low,Low,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Low,Low
Markham,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Low,Very Low
Bari,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,High
Cluj-napoca,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Moderate
Malmo,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low
Kuching,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,High
Ann-Arbor,Very Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Low,Very Low
Timisoara,Very Low,Low,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,High
Henderson,Low,Low,Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Low,Very Low
Huntsville,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Lexington,Moderate,Very High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate
Mobile,High,Very High,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Very High,High,High,High
Karlsruhe,Moderate,High,Low,Moderate,Very Low,Low,Moderate,Moderate,Low,Low,Low,Moderate,Very Low
Catania,High,High,High,High,High,High,Moderate,Moderate,Low,High,High,Moderate,Very High
Port-Elizabeth,Very High,Very High,High,Very High,High,High,High,Moderate,Moderate,High,High,Very High,Very High
Asheville,Moderate,High,Low,Low,Low,Moderate,Low,Moderate,Very Low,High,Moderate,Low,Low
Mannheim,Moderate,Moderate,Low,Low,Very Low,Low,Low,Low,Low,Moderate,Moderate,Low,Very Low
Vaughan,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate
Curepipe,Low,Moderate,Low,Low,Very Low,Low,Low,Moderate,Low,High,Moderate,Low,High
Wollongong,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Bialystok,Low,Low,Very Low,Low,Very Low,Very Low,Low,Low,Low,Low,Low,Very Low,Low
Vigo,Very Low,Moderate,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Moderate,Low,Very Low,Low
Valparaiso,High,High,High,High,Moderate,High,High,Moderate,Low,High,High,High,Moderate
Bali,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Cagliari,Low,High,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Moderate
Iasi,Low,Low,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Very Low,High
Brasov,Very Low,Low,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Very Low,High
Graz,Very Low,Moderate,Low,Low,Very Low,Very Low,Low,Low,Low,Moderate,Low,Very Low,Low
Kaunas,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Low,Moderate,Low,High
Ostrava,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Very Low,Low
Plano,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Irvine,Very Low,Moderate,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
Constanta,Low,Moderate,Low,Low,Very Low,Moderate,Low,Low,Very Low,Low,Low,Low,High
Haifa,Low,Moderate,Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Very Low,Moderate
Newark,Very High,High,High,High,High,High,High,High,Moderate,Very High,High,High,Moderate
Wiesbaden,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Katowice,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate
Aomori,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Savannah,High,High,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate
Gatineau,Low,High,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Moderate
Windsor,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Low,High,Moderate,Low,Low
Myrtle-Beach,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,High,High,High,Moderate
Derby,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Eugene,Moderate,High,Moderate,Low,Low,Moderate,Low,Moderate,Low,High,Moderate,Low,Low
Craiova,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Very Low,Moderate,Moderate,Low,Very High
Plymouth,Moderate,High,Low,Low,Very Low,Low,Low,Moderate,Low,Moderate,Moderate,Low,Very Low
Espoo,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low
Gent,Low,High,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Very Low,Low
Geelong,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Bordeaux,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low
Venice,Low,High,Moderate,Low,Very Low,Low,Low,Low,Low,Low,Moderate,Very Low,Moderate
Wolverhampton,High,High,High,High,Moderate,High,High,Moderate,Low,High,High,Moderate,Low
Bergen,Low,High,Low,Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Low,Low
Verona,Low,High,Moderate,Low,Very Low,Low,Low,Very Low,Low,Moderate,Moderate,Very Low,Moderate
Galati,Low,Moderate,Low,Low,Low,Moderate,Low,Moderate,Very Low,Low,Low,Low,High
Gdynia,Low,Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Low,Very Low,Low
Aachen,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Low,Very Low
Anchorage,High,Very High,High,Moderate,Moderate,High,Moderate,Moderate,Low,Very High,High,High,Low
Saskatoon,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Low
Porto,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Moderate
Fremont,Low,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Low,Low
Hobart,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Limassol,Low,High,Low,Very Low,Low,Low,Low,Low,Very Low,Low,Low,Low,High
Kosice,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Low,Low,Moderate,Very Low,High
Lille,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Low,High,High,Moderate,Low
Granada,Very Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Miri,Moderate,High,Moderate,Low,Moderate,Moderate,Low,Low,Very Low,Low,Moderate,Low,High
York,Low,Moderate,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low,Low,Low,Very Low
Burnaby,Moderate,High,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low
Milton-Keynes,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Freiburg-Im-Breisgau,Low,High,Low,Low,Very Low,Very Low,Low,Moderate,Low,Moderate,Low,Low,Very Low
Burgas,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Very Low,High
Puerto-Vallarta,Low,High,Low,Low,Low,Low,Low,Very Low,Very Low,Low,Moderate,Low,High
Tampere,Very Low,High,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low,Low,Very Low,Very Low
Sandton,High,High,High,High,High,High,High,Moderate,Moderate,High,High,High,Very High
Groningen,Very Low,Moderate,Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Moderate,Low,Very Low,Very Low
Concepcion,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate
Netanya,High,High,High,Moderate,High,High,Moderate,Moderate,Low,Moderate,High,Moderate,Moderate
Aberdeen,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Luton,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Tacoma,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,High,High,Moderate,Low
Norwich,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Very Low,Very Low
San-Bernardino,Very High,High,High,High,High,High,High,High,Moderate,Very High,Very High,High,Moderate
Regina,High,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,High,High,Moderate,Low
Geneva,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Very Low,Low
Padova,Moderate,Moderate,Low,Low,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Low,Moderate
Ploiesti,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Moderate,Very Low,High
Cork,Low,High,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,Low
Fargo,Moderate,High,Low,Low,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Linz,Very Low,Moderate,Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Low,Low,Very Low,Very Low
Trieste,Very Low,Moderate,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
Zanzibar,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High
Amarillo,Low,Very Low,Low,Low,Low,Low,Low,Very Low,Very Low,Low,Low,Low,Low
Debrecen,Very Low,Moderate,Low,Very Low,Very Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Croydon,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Low,High,Moderate,Moderate,Low
Gurgaon,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Liege,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low
Oulu,Low,High,Low,Low,Low,Low,Low,Moderate,Low,Moderate,Moderate,Low,Low
Banja-Luka,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Very High
Almeria,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,High
Brescia,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,Moderate
Oradea,Very Low,Low,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Moderate
Parma,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Very Low,Low
Oakville,Low,High,Low,Low,Low,Low,Very Low,Very Low,Very Low,Low,Low,Low,Very Low
Swindon,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Turku,Low,Moderate,Very Low,Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Low,Very Low
Bournemouth,Moderate,High,Low,Low,Low,Low,Moderate,Low,Low,High,Moderate,Low,Low
Modena,Moderate,Very High,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Moderate
Basel,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Low,Low,Very Low,Very Low
Rzeszow,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Low,Low,Very Low,Low,Very Low,Low
Trondheim,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low
Nis,Low,Moderate,Low,Very Low,Low,Low,Low,Low,Very Low,Low,Low,Low,High
Burlington,Moderate,High,Low,Low,Very Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Low
Spartanburg,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Very High,High,High,Moderate
Braga,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Moderate
Fort-Lauderdale,Moderate,High,Moderate,Low,Moderate,Moderate,Low,Moderate,Low,High,Moderate,Moderate,Moderate
Townsville,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Low
Ipswich,Moderate,High,Moderate,Low,Low,Low,Low,Moderate,Low,Moderate,Low,Low,Low
Split,Low,High,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Low,High
Middlesbrough,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Low,High,Moderate,Low,Low
Leon,High,Very High,High,High,Moderate,Very High,Moderate,Low,Very Low,High,High,High,High
Barrie,Low,High,Low,Low,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Low,Low
Guanajuato,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Very Low,Moderate,High,Moderate,High
Uppsala,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Perugia,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Low,High,Moderate,Low,Moderate
Oshawa,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,High,Moderate,Low
Klaipeda,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Moderate
Bayamon,Very High,High,High,High,High,High,High,Moderate,Low,Very High,Very High,Very High,Very High
Slough,High,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Very High,High,High,Moderate
Odense,Very Low,Moderate,Low,Low,Very Low,Very Low,Low,Low,Very Low,Low,Low,Very Low,Very Low
Mostar,Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,Very High
Benoni,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High,High,High,Very High,Very High,Very High
Heidelberg,Very Low,Moderate,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low,Low,Very Low,Very Low
Szeged,Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Low,Low,Low,Very Low,Moderate
Sherbrooke,Very Low,Moderate,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
Arad,Very Low,Low,Low,Low,Very Low,Low,Low,Moderate,Very Low,Low,Low,Very Low,High
George,Moderate,Very High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate
Oxford,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Batumi,Very Low,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low
Frederick,Moderate,Very High,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low
Salzburg,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Low,Low,Very Low,Low
Odessa,High,Very High,Moderate,High,High,Very High,Moderate,High,Moderate,Very High,Moderate,Moderate,Very High
Midland,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Moderate
Cairns,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate
Foggia,High,Very High,High,High,High,High,Moderate,High,Moderate,High,Very High,High,Very High
Siem-Reap,Moderate,Moderate,Moderate,Low,Low,Low,Low,Low,Very Low,Moderate,Low,Low,High
Willemstad,High,Very High,High,High,Moderate,High,Moderate,Moderate,Low,High,High,High,High
Dundee,Moderate,High,Low,Low,Low,Moderate,Low,Moderate,Low,High,Moderate,Low,Low
Sibiu,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Very Low,High
David,Moderate,Moderate,Low,Low,Very Low,Moderate,Low,Very Low,Low,Low,Low,Low,High
Marbella,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate
Coimbra,Very Low,High,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
Blackpool,High,High,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Very High,High,Moderate,Low
Lausanne,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Low,Low
Kelowna,Moderate,High,Moderate,Low,Moderate,High,Low,Moderate,Low,High,High,Moderate,Low
Abbotsford,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Very High,High,Moderate,Moderate
Carolina,High,High,High,High,High,High,High,Moderate,Low,Very High,High,High,High
Coquitlam,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Moderate,Low,Very Low,Very Low
Grand-Junction,Moderate,Very High,Low,Low,Low,Low,Low,Low,Very Low,High,Moderate,Moderate,Low
Darwin,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate
Jyvaskyla,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Low,Low,Low,Very Low
Toowoomba,Moderate,High,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Chiang-Mai,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Low,High
Brighton,Moderate,High,Low,Low,Low,Low,Low,Moderate,Very Low,High,Moderate,Low,Low
Tauranga,Moderate,Moderate,Moderate,Low,Low,Low,Low,Moderate,Low,Moderate,Moderate,Moderate,Low
Innsbruck,Very Low,High,Very Low,Very Low,Very Low,Low,Low,Low,Very Low,Low,Low,Very Low,Low
Papeete,Low,Low,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Low
Stavanger,Very Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Very Low,Very Low
Guelph,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,Low
Rijeka,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,High
Bellingham,Low,High,Low,Low,Very Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Low
Udon-Thani,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Moderate
Vasteras,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Low
Cambridge,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Low,Low,Very Low
Orebro,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Exeter,Low,High,Low,Low,Very Low,Low,Low,Moderate,Low,Moderate,Moderate,Low,Low
Aalborg,Low,Moderate,Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Dunedin,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low
Maastricht,Very Low,Moderate,Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Moderate,Low,Very Low,Very Low
Baia-Mare,Low,High,Low,Low,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Low,Very High
San-Pedro-Garza-Garcia,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Low,Low
Alberton,Very High,Very High,Very High,Very High,High,High,High,High,High,Very High,High,Very High,Very High
Bergamo,Low,Moderate,Moderate,Low,Low,Low,Low,Very Low,Very Low,Moderate,Moderate,Low,Moderate
Berkeley,High,High,High,High,Moderate,High,High,High,Low,High,High,High,Low
Billings,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Ajax,Moderate,Very High,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Low
Lahti,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Moderate
Trento,Low,High,Low,Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Very Low,Low
Linkoping,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Langley,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,High,High,Moderate,Low
Ponce,Very High,Very High,High,High,High,Very High,High,High,Low,Very High,High,Very High,Very High
Khon-Kaen,Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Low,Moderate,Low,Low,High
Helsingborg,High,High,Moderate,High,Moderate,Moderate,High,Moderate,Low,Moderate,Moderate,Moderate,Low
Maribor,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Moderate
Colchester,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Vicenza,Low,High,Moderate,Low,Low,Moderate,Low,Very Low,Very Low,High,Moderate,Low,Moderate
West-Palm-Beach,High,Very High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Moderate
Funchal,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
Waterloo,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Low,Very Low
Montego-Bay,Very High,Very High,High,High,High,High,High,High,Moderate,High,High,Very High,Very High
Moncton,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Very Low,High,Moderate,Moderate,Low
Barletta,Moderate,High,High,Moderate,Very High,Very High,Moderate,Low,Very Low,Moderate,High,Low,Moderate
Siauliai,Low,Moderate,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
Thunder-Bay,High,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,High,High,High,Moderate
Ballarat,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,Moderate,Moderate
Subotica,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Very High
Osijek,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,High
Renton,Low,High,Low,Very Low,Low,Moderate,Low,Low,Very Low,Moderate,Low,Low,Low
Olomouc,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
San-Angelo,Moderate,High,Moderate,Low,Low,Moderate,Low,High,Low,High,Moderate,High,Very High
Idaho-Falls,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Very Low
Red-Deer,High,Very High,High,Moderate,High,High,Moderate,Moderate,Low,High,High,Moderate,Low
Kamloops,Moderate,High,Moderate,Low,Low,Moderate,Low,Moderate,Low,High,Moderate,Moderate,Low
Bismarck,Very Low,High,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low
Orem,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low
Tartu,Very Low,Low,Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Very Low,Low
Noumea,High,Very High,High,High,High,High,High,High,High,High,High,High,Moderate
Pardubice,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Low,High
Bath,Low,Moderate,Low,Very Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Very Low,Very Low
Umea,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Como,Very Low,Moderate,Low,Low,Very Low,Low,Very Low,Very Low,Very Low,Moderate,Low,Very Low,Moderate
Lucerne,Very Low,Moderate,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low
Cabo-San-Lucas,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,High
Bitola,Low,Moderate,Low,Low,Very Low,Moderate,Very Low,Low,Very Low,Moderate,Low,Very Low,Very High
Phuket,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Very High
Galway,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Low,Low
Palmerston-North,Moderate,High,Moderate,Low,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Cheyenne,Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Low,Low,Low,Low,Very Low,Low
Aveiro,Low,High,Low,Low,Low,Low,Low,Very Low,Very Low,Low,Low,Very Low,Low
Zadar,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Low,High
Inverness,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Moderate,Low,Low
New-Westminster,Low,High,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Very Low
Vaasa,Low,High,Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Very Low,Very Low
Limerick,Moderate,Moderate,Low,Low,Low,Moderate,Low,Moderate,Low,High,Moderate,Low,Low
